Unnamed: 0,Lab,Institute,Latitude,Longtitude,Country
81,Local Research Group,University of the West of Scotland,55.84342625,-4.430031145769734, United Kingdom
82,Local Research Group,University of Szeged,46.2475214,20.1488601, Hungary
83,Local Research Group,Queen Mary University of London,51.5276441,-0.1035989251818263, United Kingdom
84,Local Research Group,The University of Mississippi,34.3653695,-89.5350279, USA
85,Local Research Group,University of Michigan,42.2681569,-83.7312291, USA
86,Local Research Group,University of California Berkeley,37.87094645,-122.26639872292525, USA
87,Local Research Group,California State University,34.0536909,-118.242766, USA
88,Local Research Group,Lancaster University,54.0484068,-2.7990345, United Kingdom
89,Local Research Group,Vrije Universiteit Amsterdam,52.3727598,4.8936041, Netherlands
90,Local Research Group,Rutherford Appleton Laboratory,51.6121773,-1.2439778415871414, United Kingdom
91,Local Research Group,Directorate of Construction,19.0759899,72.8773928, India
92,Local Research Group,University of Southampton,50.9025349,-1.404189, United Kingdom
93,Local Research Group,University of Washington Bothell,47.77346325,-122.19721028094828, USA
94,Local Research Group,Institute of Applied Physics,56.3264816,44.0051395, Russia
95,Local Research Group,Ewha Womans University,37.5666791,126.9782914, Republic of Korea
96,Local Research Group,Inje University Gimhae,34.865741650000004,128.69657863616982, Republic of Korea
97,Local Research Group,Sungkyunkwan University,37.5666791,126.9782914, Republic of Korea
98,Local Research Group,National Institute for Mathematical Sciences,36.3496,127.3848, Republic of Korea
99,Local Research Group,Ulsan National Institute of Science and Technology,35.5391697,129.3119136, Republic of Korea
100,Local Research Group,Bard College,42.0128695,-73.9081901, USA
101,Local Research Group,Universit´e de Montr´eal/Polytechnique,45.5031824,-73.5698065, Canada
102,Local Research Group,Seoul National University,37.5666791,126.9782914, Republic of Korea
103,Local Research Group,NASA Marshall Space Flight Center,34.729847,-86.5859011, USA
104,Local Research Group,West Virginia University,39.6296809,-79.9559437, USA
105,Local Research Group,Indian Institute of Technology Madras,13.0836939,80.270186, India
106,Local Research Group,Indian Institute of Science Education and Research Kolkata,22.9547908,88.5279413, India
107,Local Research Group,Cornell University,42.4396039,-76.4968019, USA
108,Local Research Group,Hobart and William Smith Colleges,42.86548285,-76.98075684493965, USA
109,International Institute of Physics,International Institute of Physics,-5.805398,-35.2080905, Brazil
110,Local Research Group,University of California Riverside,33.96370575,-117.33978065170642, USA
111,Local Research Group,University of Washington,47.6038321,-122.3300624, USA
112,Local Research Group,Marquette University,43.0349931,-87.922497, USA
113,Local Research Group,Indian Institute of Technology Palaj,23.2219327,72.7287599, India
114,Local Research Group,Indian Institute of Technology Hyderabad,17.613422399999997,78.10216501452837, India
115,Local Research Group,Indian Institute of Science Education and Research,18.521428,73.8544541, India
116,Local Research Group,Andrews University,41.9464336,-86.3388965, USA
117,Local Research Group,Tata Institute of Fundamental Research,18.9792365,72.8127667, India
118,Local Research Group,Concordia University Wisconsin,43.2219088,-87.9822969, USA
119,Center for Computational Astrophysics,Center for Computational Astrophysics,40.7404832,-73.9905849, USA
